name,surname,age,gender,title
Eddard,Stark,60,male,Lord of Winterfell
Robert,Baratheon,55,male,King
Jaime,Lannister,49,male,Chief of Kingsguard
Cersei,Lannister,46,female,Queen
Daenerys,Targaryen,32,female,Queen
Jon,Snow,32,male,Black Guard
Sansa,Stark,23,female,Lady
Arya,Stark,22,female,Killer
Bran,Stark,20,male,Three-eyed Raven
Joffrey,Baratheon,27,male,King
Tyrion,Lannister,50,male,Consultant
Catelyn,Stark,56,female,Lady
Jorah,Mormont,58,male,Knight
Sandor,Clegane,50,male,Knight
Samwell,Tarly,31,male,Consultant
